nr,möbel,läge,facit_low,facit_high,low,default,high,n,variantMethod,variantSource,effectiveN,sizeMethod,sizeQuery,sizeWarning,filtersConverted,variant,imageFiltered,cellLevel,cellKey,priceBasis,note,confidence,träff_intervall,träff_default,avvikelse,felklass,bench,mode
3,Mio Bridge,kärnnamn + bild,3500,7000,884.0,3752.0,5260.0,21,weighted,type_system:image+union3,20.2,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Baserat på 21 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna. Bara 21 annonser av just den modellen, så priset är sammanvägt med 1068 liknande annonser av samma märke och möbeltyp (vikt 0.78 på modellen).",low,True,True,0.0,övrigt,b1,B
4,IKEA karlstrand,kärnnamn,500,2000,,,,0,none,unresolved,0.0,none,,,,,none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt,b1,A
4,IKEA karlstrand,kärnnamn + bild,500,2000,,,,0,ignored,type_system:image+union3,0.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,all,Hittade inga liknande annonser.,none,False,False,,tunt,b1,B
5,Bellus soffa,kärnnamn,2000,6000,1000.0,4000.0,10000.0,24,weighted,type_system:text+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,övrigt,b1,A
5,Bellus soffa,kärnnamn + bild,2000,6000,1000.0,4000.0,10000.0,24,weighted,type_system:text+union3,24.0,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,Baserat på 24 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,True,0.0,övrigt,b1,B
6,IKEA stocksund,kärnnamn,800,2000,500.0,750.0,1250.0,32,weighted,type_system:prior+union3,27.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,Baserat på 32 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.0625,övrigt,b1,A
6,IKEA stocksund,kärnnamn + bild,800,2000,500.0,750.0,1250.0,32,weighted,type_system:image+union3,27.5,none,,,variant,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,Baserat på 32 liknande annonser. Baserat på utropspriser i annonser. Endast annonser från senaste 8 månaderna.,high,True,False,-0.0625,övrigt,b1,B
7,Stalands happy,kärnnamn,3000,6000,1157.0,3658.0,5931.0,2,none,unresolved,2.0,none,,,,,none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 2 annonser av just den modellen, så priset är sammanvägt med 25 liknande annonser av samma märke och möbeltyp (vikt 0.25 på modellen).",low,True,True,0.0,tunt,b1,A
7,Stalands happy,kärnnamn + bild,3000,6000,1157.0,3658.0,5931.0,2,ignored,type_system:image+union3,2.0,none,,,,"['baddsoffa', 'hornsoffa', 'soffa']",none,,,asking,"Tunt underlag: bara 2 liknande annonser hittades. Fönstret täcker hela träffmängden, så intervallet är osäkert. Baserat på utropspriser i annonser. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 2 annonser av just den modellen, så priset är sammanvägt med 25 liknande annonser av samma märke och möbeltyp (vikt 0.25 på modellen). Möbeltypen bäddsoffa, hörnsoffa eller soffa gav för tunt underlag och ingår inte i beräkningen.",low,True,True,0.0,tunt,b1,B
8,Kartell Victoria Ghost,kärnnamn,1000,2000,456.0,811.0,1483.0,15,none,unresolved,15.0,none,,,,,none,,,realized_corrected_1.36,"Baserat på 15 liknande annonser. Möbeltypen kunde inte avgöras vare sig ur bilden eller texten, så jämförelsen är gjord på hela träffmängden. Baserat på realized_corrected_1.36. För få annonser inom 8 månader, så de 15 senaste används oavsett ålder. Bara 15 annonser av just den modellen, så priset är sammanvägt med 50 liknande annonser av samma märke och möbeltyp (vikt 0.71 på modellen).",low,True,False,-0.189,tunt,b1,A
