pair_id,variant,bucket,similarity,a_row,b_row,a_source,b_source,a_name,b_name,a_price,b_price,a_url,b_url
12,soffa,0.45-0.60,0.5288,30659,23977,blocket,blocket,"2,5 sits soffa säljes!",Jysk soffa mörkgrön tyg,2250.0,900.0,https://images.blocketcdn.se/dynamic/default/item/20451588/2678e868-960a-4e7c-aa73-fa75e3f23f84,https://images.blocketcdn.se/dynamic/default/item/20761388/7374b62d-0eaa-4806-9e4b-8030d2a7e061
13,soffa,0.45-0.60,0.46,91160,32407,blocket,blocket,Svart soffa i skinnimitation,Soffa Söderhamn Ikea,500.0,4900.0,https://images.blocketcdn.se/dynamic/default/item/24750473/5eed2eeb-0980-4420-9eaa-3d92965fa1c6,https://images.blocketcdn.se/dynamic/default/item/23801329/cce81ad6-3eaa-4f6b-a206-33928f64d606
14,soffa,0.45-0.60,0.5298,26424,31010,blocket,blocket,HAY Silhouette 3-sits soffa – mörkblå,Oxford soffa svängd,15000.0,2000.0,https://images.blocketcdn.se/dynamic/default/item/24229253/701a7ba1-9d59-48fc-8541-ad56d0290589,https://images.blocketcdn.se/dynamic/default/item/24005331/529da9f9-f6f8-4955-8f9b-89c34e82d774
15,soffa,0.45-0.60,0.4929,7757,84157,auctionet,blocket,"SOFFA, 1900-talets andra hälft, klädd i JP Bakers ""Hydrangea bird"", klotformade ben.",Utesoffa med svarta dynor,6500.0,1700.0,https://images.auctionet.com/thumbs/mini_item_5060571_2391200387.jpg,https://images.blocketcdn.se/dynamic/default/item/24475041/6b856f1f-ad80-401b-8aa8-a4192163e55d
16,soffa,0.60-0.75,0.6807,25916,23611,blocket,blocket,Soffa och bord,soffa till salu,5000.0,800.0,https://images.blocketcdn.se/dynamic/default/item/23708391/03b6e6e3-8df1-46e9-9a4b-8f084e0cb315,https://images.blocketcdn.se/dynamic/default/item/24389980/c64a4309-8855-44a2-9579-58a050b00c36
17,soffa,0.60-0.75,0.6514,88416,30081,blocket,blocket,Sweef soffa - katten,IKEA Klippan 2-sits soffa grå tyg,10000.0,1800.0,https://images.blocketcdn.se/dynamic/default/item/24741174/23363de6-d122-4d9b-b5e5-3990841b6252,https://images.blocketcdn.se/dynamic/default/item/20979193/9fe7dd62-4c64-4a88-964c-3e668fbe9179
18,soffa,0.60-0.75,0.6357,29444,30481,blocket,blocket,Mio Soffa Arizona,Soffa och fåtölj,1500.0,2900.0,https://images.blocketcdn.se/dynamic/default/item/24232902/a7e7051b-0e84-4b0f-96e1-42e4a101733e,https://images.blocketcdn.se/dynamic/default/item/19623959/8d29430a-de01-470c-8047-ac216bff72e2
19,soffa,0.60-0.75,0.7324,29822,31110,blocket,blocket,Två 3-sits soffor,ikea soffa Karlstad,1000.0,2000.0,https://images.blocketcdn.se/dynamic/default/item/23685783/c4d44808-6a11-4c93-b6ad-d10cdd117f2e,https://images.blocketcdn.se/dynamic/default/item/17914304/3456eb3a-93d3-46f4-b57b-1b3fa3773f01
20,soffa,0.60-0.75,0.6416,7910,33895,auctionet,blocket,"SOFFA, hörnmodell, 1800/1900 tal, Norge.",Brun tygsoffa 3-sits med rundade armstöd,1000.0,300.0,https://images.auctionet.com/thumbs/mini_item_4784307_1afc3db939.jpg,https://images.blocketcdn.se/dynamic/default/item/24538339/f4d895da-ebd4-4eae-86af-38c299828ea7
21,soffa,0.75-0.92,0.769,30535,25838,blocket,blocket,Tresitsig soffa med avtagbar klädsel,Soffa,3500.0,7000.0,https://images.blocketcdn.se/dynamic/default/item/24403650/77af8568-6c53-4c9a-8f22-dec9c0fd9bd4,https://images.blocketcdn.se/dynamic/default/item/23870364/4832faa4-3094-4d62-bb3b-d183be330f48
22,soffa,0.75-0.92,0.751,25642,90904,blocket,blocket,Jättefin Eden Soffa med nackstöd o pall,Soffa med fåtöljer,6500.0,1500.0,https://images.blocketcdn.se/dynamic/default/item/24183956/e391ea26-a9c5-4b27-b745-65c735f75de1,https://images.blocketcdn.se/dynamic/default/item/24759936/7a19ea1c-0e39-4f4b-b221-93b4eaed4c86
23,soffa,0.75-0.92,0.8477,35028,27873,blocket,blocket,Eilersen Zenith 3-sits soffa,Ikea Stocksund 3-sits soffa,2500.0,500.0,https://images.blocketcdn.se/dynamic/default/item/23676782/cb5a2852-d5ef-4924-9d9e-4cf7d797345f,https://images.blocketcdn.se/dynamic/default/item/24218385/c6371373-e6ee-48d2-857d-280a93ed6186
24,soffa,0.75-0.92,0.7686,24773,23140,blocket,blocket,Lawrence howardsoffa 2-sits,Soffor,1000.0,3000.0,https://images.blocketcdn.se/dynamic/default/item/23544348/edb87ec2-3ecb-4c51-b7a1-343021484a08,https://images.blocketcdn.se/dynamic/default/item/24597948/9e9aaea1-0372-4361-93e5-0ee0f2cfcbce
25,soffa,0.75-0.92,0.7529,34574,31380,blocket,blocket,"Sören Lund SL 88, dansk designsoffa",Soffa och Fotölj säljes nu billigt pga flytt,3000.0,3000.0,https://images.blocketcdn.se/dynamic/default/item/24090023/19732ecc-2cca-45d7-8fbe-d73bc8caedaa,https://images.blocketcdn.se/dynamic/default/item/23436160/a8a9b061-185a-4afc-b259-92f39237cf51
26,fåtölj,0.20-0.30,0.2764,28237,37704,blocket,blocket,Nätt svart karmstol,Svart karmstol i sammet,300.0,650.0,https://images.blocketcdn.se/dynamic/default/item/23884939/4c305efb-9c4a-49f4-99d0-8aa0f80de074,https://images.blocketcdn.se/dynamic/default/item/20648089/ddaf8429-829f-4ec9-83b9-cdb00e3a8fb8
27,fåtölj,0.20-0.30,0.2305,2054,23057,auctionet,blocket,"ARNE DAHLÉN. Fåtölj, ""Eva"", Dalums Fåtöljindustri, 1960-tal.",Elektrisk recliner fåtölj med lift-upfunktion,3000.0,1500.0,https://images.auctionet.com/thumbs/mini_item_4890584_a85ad068c0.jpg,https://images.blocketcdn.se/dynamic/default/item/24627691/674f6ba6-7e0c-4db3-b1cb-5c2cffe463a2
28,fåtölj,0.20-0.30,0.2947,1980,82976,auctionet,blocket,"""Corall"", karmstolar, ett par, Nordiska Kompaniet, 1930-tal, stomme i betsad björk, klädse",2st läckra fåtöljer,9000.0,750.0,https://images.auctionet.com/thumbs/mini_item_5015594_71834c522c.jpg,https://images.blocketcdn.se/dynamic/default/item/23874563/30afd801-6ca9-4378-bc55-0ca4cf621fc2
29,fåtölj,0.20-0.30,0.2229,2298,2982,auctionet,auctionet,"FÅTÖLJ ""Lövåsen"" Sportsugemöbel, bemålad furu, Åby Möbelfabrik, 1900-talets mitt.","FÅTÖLJ, fladdermusmodell, metallunderede, koskinn/canvas.",659.0,750.0,https://images.auctionet.com/thumbs/mini_item_4787622_90c2df7ebe.jpg,https://images.auctionet.com/thumbs/mini_item_5125442_10e6550aa9.jpg
30,fåtölj,0.20-0.30,0.2354,4247,84760,auctionet,blocket,"KARMSTOLAR, ett par, modell 401, konstläder & nitdekor, Engen, Örkelljunga, 1900-talets mi",Rottingfåtölj,250.0,1200.0,https://images.auctionet.com/thumbs/mini_item_5040509_fbab794270.jpg,https://images.blocketcdn.se/dynamic/default/item/23652552/e9e3447c-1f47-4562-9141-c9b1256eca0d
31,fåtölj,0.30-0.45,0.449,28668,29808,blocket,blocket,Ikea VIMLE fåtölj,50-talsfåtölj,800.0,1000.0,https://images.blocketcdn.se/dynamic/default/item/23407023/fc51d6f9-ef7e-4cf4-a7bd-ada88e849bec,https://images.blocketcdn.se/dynamic/default/item/23702532/15e05b43-0767-432b-80d3-d71b07595250
32,fåtölj,0.30-0.45,0.3335,47589,93947,blocket,auctionet,"Karmstol ""dante"" med snidade detaljer","""Samsas"", fåtölj, stoppad textilbeklädd stomme, OH Sjögren Tranås, brickmärkt. carl malmst",700.0,3800.0,https://images.blocketcdn.se/dynamic/default/item/24046317/14046d20-4374-4d2a-b94f-3369d810bafd,https://images.auctionet.com/thumbs/mini_item_3532038_4c26d6657f.jpg
33,fåtölj,0.30-0.45,0.3196,4215,23282,auctionet,blocket,"KARMSTOLAR/LÄNSSTOLAR, ett par, barockstil, 1900-tal.",Rottingfåtöljer i natur från Åhléns Home!,300.0,1500.0,https://images.auctionet.com/thumbs/mini_item_5098974_84046024d5.jpg,https://images.blocketcdn.se/dynamic/default/item/24545765/3f29f4f7-2434-489f-8c5b-30d2cc544de5
34,fåtölj,0.30-0.45,0.4302,1314,27856,auctionet,blocket,"""Senator"", fåtöljer, ett par, France & Son, Danmark, 1960-tal, teak. ole wanscher",Fåtölj,10256.0,350.0,https://images.auctionet.com/thumbs/mini_item_4941915_b5d9605129.jpg,https://images.blocketcdn.se/dynamic/default/item/24228580/30e4bb2a-9bd3-4326-91f7-66447a664549
35,fåtölj,0.30-0.45,0.3481,84895,3037,blocket,auctionet,Rottingfåtöljer med grå dynor,"Fåtölj ""Hemmakväll"", klädd i fårskinnspäls Espresso. carl malmsten",600.0,14000.0,https://images.blocketcdn.se/dynamic/default/item/23369911/fb7569f1-731f-413a-8e30-b67cf5d34b22,https://images.auctionet.com/thumbs/mini_item_4889516_c4826a1a57.jpg
36,fåtölj,0.45-0.60,0.5781,2106,27037,auctionet,blocket,"FÅTÖLJER, ett par, 1930/40-tal.",Fåtölj i mycket bra skick –600kr,550.0,600.0,https://images.auctionet.com/thumbs/mini_item_4749927_6846993b8a.jpg,https://images.blocketcdn.se/dynamic/default/item/24694181/d80c63b8-343f-4680-9a18-9fba09ac0bdc
37,fåtölj,0.45-0.60,0.5234,29716,2969,blocket,auctionet,Artwood design - rottingfåtölj med tjocka vita dynor,"FÅTÖLJER, 1 par, 1900-talets andra hälft, omklädd i brunt skinn, betsade ben.",1500.0,5015.0,https://images.blocketcdn.se/dynamic/default/item/23852660/7c5ee4b8-9a54-49ff-98dc-5a89da924f5b,https://images.auctionet.com/thumbs/mini_item_5229671_a0636db970.jpg
38,fåtölj,0.45-0.60,0.5,27271,22960,blocket,blocket,Fåtölj,Fåtölj i sammet,800.0,1500.0,https://images.blocketcdn.se/dynamic/default/item/24578037/61d94b8b-44d1-4d68-9e17-635b36af4a63,https://images.blocketcdn.se/dynamic/default/item/24664494/00c123e3-8029-4c08-b2ca-4dea38920d8b
39,fåtölj,0.45-0.60,0.5386,23607,2969,blocket,auctionet,Boucle Fåtölj Vit,"FÅTÖLJER, 1 par, 1900-talets andra hälft, omklädd i brunt skinn, betsade ben.",2500.0,5015.0,https://images.blocketcdn.se/dynamic/default/item/24392067/144cfbb7-644d-4b0b-a557-15a6c0cd224c,https://images.auctionet.com/thumbs/mini_item_5229671_a0636db970.jpg
40,fåtölj,0.45-0.60,0.5117,35498,28201,blocket,blocket,Emmafåtölj i röd sammet,Retro karmstol fåtölj,250.0,200.0,https://images.blocketcdn.se/dynamic/default/item/23344691/44c80b48-42e1-4f5c-a599-d6210733fbfb,https://images.blocketcdn.se/dynamic/default/item/23924683/624a967a-cf6b-4915-95c1-8704e51b1c0c
41,fåtölj,0.60-0.75,0.6274,25089,23289,blocket,blocket,Howard fåtölj 2 st,Beige fåtölj,1000.0,750.0,https://images.blocketcdn.se/dynamic/default/item/23237746/ce3c3218-a20e-40c4-9ee2-0776302684ff,https://images.blocketcdn.se/dynamic/default/item/24542900/f83e2fac-761f-4b0d-b174-7254bd23b442
42,fåtölj,0.60-0.75,0.6465,23131,85821,blocket,blocket,Ekornes/ Stressless,2 st fåtöljer i konstrotting med dyna,500.0,100.0,https://images.blocketcdn.se/dynamic/default/item/22925648/857516f6-e506-4098-ad0f-8f38260ae9ee,https://images.blocketcdn.se/dynamic/default/item/22687149/2b30f0e1-177d-4b36-b2e9-c9fc833338b8
43,fåtölj,0.60-0.75,0.6987,25998,29474,blocket,blocket,Erik Mio fåtölj,Fåtöljer,4000.0,1000.0,https://images.blocketcdn.se/dynamic/default/item/23495240/67c7c8d7-7dd7-4679-862f-76371b9a5a52,https://images.blocketcdn.se/dynamic/default/item/24205192/0a94039c-d9a1-4525-bb9d-9080b7165de4
44,fåtölj,0.60-0.75,0.6084,3393,2394,auctionet,auctionet,"FÅTÖLJ, TILLSKRIVEN KURT ØSTERVIG.","Fåtölj, ""TeVe"", ur Studio-kollektionen 1953, Dux, Ljungs Industrier AB, Malmö. alf svensso",5000.0,1925.0,https://images.auctionet.com/thumbs/mini_item_4933325_8021295f3a.jpg,https://images.auctionet.com/thumbs/mini_item_4857356_167ce644d8.jpg
45,fåtölj,0.60-0.75,0.6138,29891,29640,blocket,blocket,Cube fåtölj Karup Design,IKEA Mellby fåtölj i grått tyg,1700.0,1300.0,https://images.blocketcdn.se/dynamic/default/item/18196159/9f901fae-586d-4e25-88aa-c8fb1cd2fe83,https://images.blocketcdn.se/dynamic/default/item/23902777/adc239c7-6f55-4dcb-9c41-722b8a1067a8
46,fåtölj,0.75-0.92,0.7852,29914,34239,blocket,blocket,Världens skönaste fåtöljer,2 st svarta skinnfåtöljer från IKEA,1000.0,1100.0,https://images.blocketcdn.se/dynamic/default/item/23506538/469567a9-0b0b-4351-b707-8788e35795f7,https://images.blocketcdn.se/dynamic/default/item/24335094/a895e57b-f880-4630-a3a4-1e932c9854a7
47,fåtölj,0.75-0.92,0.7695,4374,32346,auctionet,blocket,"Fåtölj ""Eva hög"", Dux, stomme i bok, med fluffig klädsel. bruno mathsson",DUX Pernilla 69,3226.0,4995.0,https://images.auctionet.com/thumbs/mini_item_5043701_f7ef86b294.jpg,https://images.blocketcdn.se/dynamic/default/item/22214991/ce828f43-941f-4cb3-a518-88b60406a7be
48,fåtölj,0.75-0.92,0.7827,1394,3208,auctionet,auctionet,"KARMSTOLAR, ""CILLA"", TVÅ STYCKEN, FÖR IKEA. erik wörtz","""Colonial Chair"", karmstol, Carl Hansen & Søn, Danmark, modell OW149, formgivningsår 1959.",851.0,10100.0,https://images.auctionet.com/thumbs/mini_item_4812405_96ad5f8e0d.jpg,https://images.auctionet.com/thumbs/mini_item_4893987_e9e47e8710.jpg
49,fåtölj,0.75-0.92,0.7949,23519,27694,blocket,blocket,Fåtölj säljes,Skinnfåtölj IMG Norway,1200.0,750.0,https://images.blocketcdn.se/dynamic/default/item/24430132/b8906fac-0122-444e-b142-361adfc04242,https://images.blocketcdn.se/dynamic/default/item/24334736/8b2901c3-7c18-49d1-8e7f-a3713f71c793
50,fåtölj,0.75-0.92,0.8853,4446,2458,auctionet,auctionet,"Textilklädsel. ""Farmor"". AB O.H. Sjögren, plakettmärkt undertill. carl malmsten. fåtölj","Fåtöljer ett par ""Oscar"". carl malmsten",1200.0,2947.0,https://images.auctionet.com/thumbs/mini_item_5010552_66a53daf68.jpg,https://images.auctionet.com/thumbs/mini_item_5011868_add720d5be.jpg
51,bord,0.20-0.30,0.2559,43365,83009,blocket,blocket,Vackert bord i metall.,DPJ höj- & sänkbart skrivbord,300.0,1100.0,https://images.blocketcdn.se/dynamic/default/item/24688811/74123bea-bbd9-4db3-9c14-5165010eaced,https://images.blocketcdn.se/dynamic/default/item/24722565/33ae9ffc-cc33-4e71-bb73-0814b4bc2250
52,bord,0.20-0.30,0.2289,55062,49675,blocket,blocket,Litet bord,Soffbord,150.0,1600.0,https://images.blocketcdn.se/dynamic/default/item/20408180/232694eb-e28b-47b1-bbfa-175cf432481b,https://images.blocketcdn.se/dynamic/default/item/23706812/0ccbe885-986e-44e1-87e5-b0d13a0e3417
53,bord,0.20-0.30,0.2393,22159,39007,blocket,blocket,Avlastningsbord,Skrivbord Jysk,250.0,1500.0,https://images.blocketcdn.se/dynamic/default/item/23795286/9e0d101a-7ebd-4267-ace5-9c0ca963242d,https://images.blocketcdn.se/dynamic/default/item/24297387/a03df3f2-1a55-4a48-ac91-c3944bf9ec28
54,bord,0.20-0.30,0.2076,45983,39040,blocket,blocket,Sidobord,Modernt konsolbord/sidobord i mycket fint skick,450.0,1000.0,https://images.blocketcdn.se/dynamic/default/item/22500421/a335f084-c97b-4919-8370-c5a3180fb31c,https://images.blocketcdn.se/dynamic/default/item/24261964/d6814b2d-dfdf-4daf-8bf7-739428a711ad
55,bord,0.20-0.30,0.2004,35595,83342,blocket,blocket,VITTSJÖ bord svart/glas 100x36 cm,Utemöbler - soffbord Jysk,400.0,500.0,https://images.blocketcdn.se/dynamic/default/item/24662005/da870f3b-c5da-48f7-ba2a-2f8382fcd6c1,https://images.blocketcdn.se/dynamic/default/item/24290849/1ba56443-6857-4bb5-907c-750afc9ac2c1
56,bord,0.30-0.45,0.3577,51817,80328,blocket,blocket,Teakbord,Runt träbord med svarvat ben svart/brunt,2900.0,400.0,https://images.blocketcdn.se/dynamic/default/item/23328024/2d1bd5a6-feb5-4ad4-a542-7ed702f91672,https://images.blocketcdn.se/dynamic/default/item/24612175/fc7319b2-aa93-4454-9e17-e7d62f80629a
57,bord,0.30-0.45,0.3057,11707,37178,auctionet,blocket,"SOFFBORD, glas och smide, 1900-talets senare del.",Soffbord i marmor,350.0,700.0,https://images.auctionet.com/thumbs/mini_item_4758378_55e9293579.jpg,https://images.blocketcdn.se/dynamic/default/item/24562354/3a2b8878-82a8-414d-8a0c-7dc5cd729849
58,bord,0.30-0.45,0.415,13543,41023,blocket,blocket,Helt nytt skrivbord 120cm,Fritz Hansen Tray sidobord 60cm diameter,700.0,4500.0,https://images.blocketcdn.se/dynamic/default/item/23510664/678459ca-6434-4c18-b3b7-e359f3a7a409,https://images.blocketcdn.se/dynamic/default/item/22416394/608f273b-54cd-4fa9-8c9f-a745b6d9485d
59,bord,0.30-0.45,0.4216,46265,46650,blocket,blocket,Stort Svart Skrivbord från Ikea,Bekant skrivbord från ikea,500.0,499.0,https://images.blocketcdn.se/dynamic/default/item/22178799/77ce2679-4061-40e0-b472-311bb952997c,https://images.blocketcdn.se/dynamic/default/item/23423571/47c4392d-160e-46b5-9b9d-014c438a1fdf
60,bord,0.30-0.45,0.342,89086,88913,blocket,blocket,"STOCKHOLM Satsbord, set om 2, valnötsfaner",Soffbord,475.0,125.0,https://images.blocketcdn.se/dynamic/default/item/24744837/1d77535a-8de8-408b-9f21-255a236890dc,https://images.blocketcdn.se/dynamic/default/item/24732276/252181e6-7141-49ff-8617-9f8f913fdc7f
61,bord,0.45-0.60,0.5586,42685,80773,blocket,blocket,Litet bord,"Halvmånebord, i björk från 1800-talet",50.0,1000.0,https://images.blocketcdn.se/dynamic/default/item/24055536/fe1ff27b-f5d9-47f1-a5e8-843090fbb821,https://images.blocketcdn.se/dynamic/default/item/24626366/93d84ddc-b076-4fbb-b44b-48375001ecb9
62,bord,0.45-0.60,0.4924,42104,53303,blocket,blocket,IKEA Linmon bord med metallben,Soffbord massiv ek,150.0,400.0,https://images.blocketcdn.se/dynamic/default/item/24324140/9794fa3c-1ac3-4932-95a1-337478687ec3,https://images.blocketcdn.se/dynamic/default/item/24667714/e044187c-8f9b-4729-a265-e5aac37c8773
63,bord,0.45-0.60,0.5698,35982,50210,blocket,blocket,"Två små soffbord, nya!",Soffbord massivt trä H&M Home,150.0,2000.0,https://images.blocketcdn.se/dynamic/default/item/22639242/1d50bc0d-4e48-48b6-bc2b-acba0621883f,https://images.blocketcdn.se/dynamic/default/item/24712943/7ff16284-d052-4264-b92b-558edddcf112
64,bord,0.45-0.60,0.4751,44965,11707,blocket,auctionet,Soffbord IKEA,"SOFFBORD, glas och smide, 1900-talets senare del.",250.0,350.0,https://images.blocketcdn.se/dynamic/default/item/23376136/b39be4d4-70c9-433c-a7dc-2d0520fda3f6,https://images.auctionet.com/thumbs/mini_item_4758378_55e9293579.jpg
65,bord,0.45-0.60,0.4866,42909,6847,blocket,auctionet,STADIGT BORD - 88 x 60 CM !!,"SKRIVBORD, 1900-talets början, svartmålad skrivskiva, två lådor med beslag i gustaviansk s",75.0,2000.0,https://images.blocketcdn.se/dynamic/default/item/17602680/6bab43f3-5563-48fa-9b6a-4d4b0069fa9d,https://images.auctionet.com/thumbs/mini_item_4930820_2d52d90cec.jpg
66,bord,0.60-0.75,0.6699,5196,92124,auctionet,blocket,"satsbord, 3 st, bonad björk, Svenska Möbelfabrikerna Bodafors. axel larsson",Antikt slagbord klaffbord,150.0,3900.0,https://images.auctionet.com/thumbs/mini_item_4618274_fafc9318c1.jpg,https://images.blocketcdn.se/dynamic/default/item/23126545/dd7baf0e-e3a4-4184-b876-635d854f9d52
67,bord,0.60-0.75,0.6992,42626,54877,blocket,blocket,Vitt soffbord,Soffbord med glasskiva och förvaring,200.0,50.0,https://images.blocketcdn.se/dynamic/default/item/24123053/0b855660-1c74-4f64-8ff6-a51d735a0fbd,https://images.blocketcdn.se/dynamic/default/item/23742490/e2f98508-959d-4b39-9090-b93045ba1ee8
68,bord,0.60-0.75,0.6016,88096,11725,blocket,auctionet,Grythyttan med renoveringsbehov,"Soffbord, för Cado, Danmark, 1900-talets andra hälft. arne vodder",5000.0,700.0,https://images.blocketcdn.se/dynamic/default/item/24559015/1624d7af-b14b-45fe-aa0c-d3f84c1e41a7,https://images.auctionet.com/thumbs/mini_item_4727409_df00c0ae16.jpg
69,bord,0.60-0.75,0.6089,45850,7062,blocket,auctionet,"SIDOBORD INTARSIA, MAHOGNY, 1900-TAL.","MÅNBORD, 2 delar, sent 1800-tal.",499.0,300.0,https://images.blocketcdn.se/dynamic/default/item/24295495/f43cddb0-bca9-404b-8b97-8cd0419b8dbe,https://images.auctionet.com/thumbs/mini_item_5041327_fb4603001b.jpg
70,bord,0.60-0.75,0.6133,12682,36127,blocket,blocket,Ikea malm smink bord helt nytt,Mio Nancy sidobord,1000.0,300.0,https://images.blocketcdn.se/dynamic/default/item/24580504/aa5d7d21-3180-4821-8ed1-f0049a35cba7,https://images.blocketcdn.se/dynamic/default/item/24192050/661c3ed1-8d4a-4ad9-a1eb-a9aef45a13e4
71,bord,0.75-0.92,0.7524,55594,61653,blocket,blocket,Teakbord,Avlastningsbord,500.0,1200.0,https://images.blocketcdn.se/dynamic/default/item/23117587/d5a9f045-268d-4ec8-81a7-a4cc236e5f7b,https://images.blocketcdn.se/dynamic/default/item/21474994/2bef3cf5-78b7-4e97-a414-a259912ea6b4
72,bord,0.75-0.92,0.7544,5943,11679,auctionet,auctionet,"SOFFBORD, teak och bok med mässingsfötter, Ellbe, 1900-talets mitt.","SOFFBORD, ""Elddans"", Algot P Törneman, Seffle Möbelfabrik, signerat, numrerat 33/200, date",550.0,1211.0,https://images.auctionet.com/thumbs/mini_item_4854077_6e9e8f9810.jpg,https://images.auctionet.com/thumbs/mini_item_4909869_cd5edda566.jpg
73,bord,0.75-0.92,0.7676,4763,11679,auctionet,auctionet,"SOFFBORD Mahogny, 1900-talets mitt.","SOFFBORD, ""Elddans"", Algot P Törneman, Seffle Möbelfabrik, signerat, numrerat 33/200, date",500.0,1211.0,https://images.auctionet.com/thumbs/mini_item_4984089_723cdd04d9.jpg,https://images.auctionet.com/thumbs/mini_item_4909869_cd5edda566.jpg
74,bord,0.75-0.92,0.8062,55594,7015,blocket,auctionet,Teakbord,"SPELBORD, sent 1800-tal.",500.0,400.0,https://images.blocketcdn.se/dynamic/default/item/23117587/d5a9f045-268d-4ec8-81a7-a4cc236e5f7b,https://images.auctionet.com/thumbs/mini_item_4944806_1f83a38f9c.jpg
75,bord,0.75-0.92,0.8125,6842,5260,auctionet,auctionet,"KONSOLBORD, 1900-talets andra hälft, gustaviansk stil, ''Signum Gustavus'', bemålad.","Sybord, ""Nya Frida"", fanérad i björk, med dekor av intarsia, låda i sargen. carl malmsten",3070.0,11000.0,https://images.auctionet.com/thumbs/mini_item_4810943_835c836df6.jpg,https://images.auctionet.com/thumbs/mini_item_4903747_b5eb30b972.jpg
