variant,label,similarity,a_row,b_row,a_model,b_model,a_size,b_size,a_source,b_source,a_url,b_url,a_name,b_name,label_detail
bord,olika_modell,0.2905,69895,72439,hemnes,malm,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/23483145/d1ce2143-36d7-47d4-b785-a71b47b8cd01,https://images.blocketcdn.se/dynamic/default/item/24670413/5cccbffb-a131-47ad-a552-dd9e1ac74541,IKEA HEMNES datorskåp med utdragbart skrivbord,Malm sminkbord,olika_modell
bord,olika_modell,0.1765,51106,57619,stockholm,hemnes,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24133685/ada45043-40cb-4204-bce2-9201436adaad,https://images.blocketcdn.se/dynamic/default/item/23564986/8f1e71e2-aba3-418b-9192-098ad3fe0683,BÄNK/BORD IKEA STOCKHOLM,Ikea Hemnes skrivbord,olika_modell
bord,olika_modell,-0.0077,52409,69895,pedrera,hemnes,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24023644/067d0d6c-a822-4be9-b988-d7cc7150b888,https://images.blocketcdn.se/dynamic/default/item/23483145/d1ce2143-36d7-47d4-b785-a71b47b8cd01,Gubi Pedrera Soffbord,IKEA HEMNES datorskåp med utdragbart skrivbord,olika_modell
bord,olika_modell,0.1505,6623,72439,stockholm,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4759579_de9474b2a1.jpg,https://images.blocketcdn.se/dynamic/default/item/24670413/5cccbffb-a131-47ad-a552-dd9e1ac74541,"För IKEA. Brickbord ""Stockholm"", 1980/90-tal. tomas jelinek",Malm sminkbord,olika_modell
bord,olika_modell,0.489,55629,69938,stockholm,malm,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24671264/ebffc753-6906-46c7-8b82-2594693ed6d1,https://images.blocketcdn.se/dynamic/default/item/23434225/2db7906d-ca25-40b4-9f56-84774e5656fb,Stockholm 2017 bänk/soffbord i rotting från Ikea,Malm avlastningsbord,olika_modell
bord,olika_modell,0.0948,57728,93755,stockholm,palissade,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/23261067/cccb8b0e-1425-4515-998a-99694ada5392,https://images.blocketcdn.se/dynamic/default/item/24747344/7604df9d-ed82-4ee6-ba1f-e289c3c2f312,IKEA Stockholm Sidobord från 80/90-tal,Hay Palissade bord antracit,olika_modell
bord,olika_modell,0.061,5189,50225,vardags,samsas,,100-150cm,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5100659_d65401aff3.jpg,https://images.blocketcdn.se/dynamic/default/item/24705648/86e926eb-565d-40df-bd2b-6f2f62f3f98e,"Bord ""Vardags"", björk, med iläggskiva, Stolab 2010. carl malmsten","Runt soffbord “Samsas” av Carl Malmsten – 100 cm, brickmärkt, valnöt, 70-tal.",olika_modell
bord,olika_modell,0.5498,5226,94283,superellips,stockholm,,,auctionet,auctionet,https://images.auctionet.com/thumbs/mini_item_4700744_dbae70f189.jpg,https://images.auctionet.com/thumbs/mini_item_4686117_59fbb0ae78.jpg,"Bord, ""Superellips"", stor modell, björk, 1900-talets andra hälft. bruno mathsson","SOFFBORD, ""Stockholm"", fanérat med ek, IKEA 1900-talets slut.",olika_modell
bord,olika_modell,0.3391,94125,38880,stockholm,campus,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4315027_f975fc2f7e.jpg,https://images.blocketcdn.se/dynamic/default/item/24431628/146f8476-78e4-453d-b7a2-06f857be1b0f,"KARIN MOBRING och TOMAS JELINEK, Soffbord på hjul ""Stockholm"" IKEA. Fanerat med ",Bord Lammhults - modell campus 140x80,olika_modell
bord,olika_modell,0.4209,94125,47742,stockholm,hemnes,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4315027_f975fc2f7e.jpg,https://images.blocketcdn.se/dynamic/default/item/22150858/36860f3c-8746-42b1-a1e4-b69415e2e1a5,"KARIN MOBRING och TOMAS JELINEK, Soffbord på hjul ""Stockholm"" IKEA. Fanerat med ",Hemnes - skrivbord,olika_modell
bord,olika_modell,0.5103,94141,46381,superellips,stockholm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4174175_3b900bf1d9.jpg,https://images.blocketcdn.se/dynamic/default/item/23730792/c277be69-20a7-4bae-b0c6-9b19c29062af,"Soffbord, ""Superellips"", skiva fanerad med masurbjörk, 1900-talets andra hälft. ",IKEA Stockholm satsbord med valnötsfaner i mycket fint skick,olika_modell
bord,olika_modell,0.2234,94290,70803,stockholm,brimnes,,,tradera,blocket,https://img.tradera.net/images/195/635988195_7506f671-a3d4-4ee0-8a2f-b83a357834f5.jpg,https://images.blocketcdn.se/dynamic/default/item/22951613/eb2d4f22-d482-4a2b-b44b-700b9ac3356f,Soffbord IKEA Stockholm - Valnötsfaner,BRIMNES Sminkbord.,olika_modell
bord,olika_modell,0.3618,12682,89086,malm,stockholm,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24580504/aa5d7d21-3180-4821-8ed1-f0049a35cba7,https://images.blocketcdn.se/dynamic/default/item/24744837/1d77535a-8de8-408b-9f21-255a236890dc,Ikea malm smink bord helt nytt,"STOCKHOLM Satsbord, set om 2, valnötsfaner",olika_modell
bord,olika_modell,0.271,41566,45413,pedrera,liatorp,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/20071455/6c88a9e8-0499-4de1-a5c1-cb90907ea601,https://images.blocketcdn.se/dynamic/default/item/24517191/0b8a4e90-2e17-4549-acfb-897d5eb8142a,Soffbord Gubi Pedrera,Ikea Liatorp soffbord,olika_modell
bord,olika_modell,0.0624,4728,48374,samsas,stockholm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4836595_1c19d672cf.jpg,https://images.blocketcdn.se/dynamic/default/item/24624174/ddfbbec2-b6cf-456f-8ec2-682ea9fdca53,"""Samsas"", soffbord, sjtärnfanér i teak, brickmärkt. carl malmsten",Ikea Stockholm soffbord,olika_modell
bord,olika_modell,0.1126,94169,47565,superellips,hemnes,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4239994_83e93a3cc3.jpg,https://images.blocketcdn.se/dynamic/default/item/24068363/ff738a3f-62fa-4c1a-8168-333222f6cb74,"bord, ""Superellips"", skiva fanerad med masurbjörk, undertill etikettmärkt. bruno",Sminkbord från IKEA,olika_modell
bord,olika_modell,0.6709,35671,38024,besta,malm,,50-100cm,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24597615/318af98b-e0e2-4e8c-9bfe-942dc4e7192f,https://images.blocketcdn.se/dynamic/default/item/23784446/8bc6349a-2fb3-4b55-9523-b53fc1b3aebb,IKEA skrivbord bestå burs (120x40 cm,"Skrivbord, vit, 140 x 65 cm, IKEA Malm",olika_modell
bord,olika_modell,0.5928,94283,52505,stockholm,samsas,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4686117_59fbb0ae78.jpg,https://images.blocketcdn.se/dynamic/default/item/23833223/d396cf7b-6df8-4b94-a304-28e95006b446,"SOFFBORD, ""Stockholm"", fanérat med ek, IKEA 1900-talets slut.",Carl Malmsten soffbord Samsas,olika_modell
bord,olika_modell,0.1547,94144,38507,samsas,stockholm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_3591423_baf3670947.jpg,https://images.blocketcdn.se/dynamic/default/item/24714724/296e8716-e1cb-4a5e-896d-0df41f716cc0,"Teakbord, ""Samsas"", 1900-talets mitt. carl malmsten",Soffbord Stockholm IKEA,olika_modell
bord,olika_modell,0.0291,94144,36634,samsas,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_3591423_baf3670947.jpg,https://images.blocketcdn.se/dynamic/default/item/20012325/7f1b2606-be15-4137-ad7c-f8736e080714,"Teakbord, ""Samsas"", 1900-talets mitt. carl malmsten",IKEA Malm skrivbord i mycket fint skick säljes!,olika_modell
bord,olika_modell,0.4744,94135,38376,stockholm,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4545091_d1c45e7acb.jpg,https://images.blocketcdn.se/dynamic/default/item/23307842/7bf83f3f-1327-47ec-a74e-bae1ac140a06,"Rullbord/Serveringsvagn, björk, ur kollektionen ""IKEA Stockholm 1985"". karin mob",Malm Skrivbord (IKEA),olika_modell
bord,olika_modell,0.1516,56690,57997,hemnes,superellips,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/23654566/27c1a5fc-f705-469e-8ac6-2bee5d61549f,https://images.blocketcdn.se/dynamic/default/item/24245211/ab89f5bb-c791-4171-83e8-4f6a5af4639e,Soffbord IKEA Hemnes,Bruno Mathsson / Piet Hein Superellips-bord 200×100 cm,olika_modell
bord,olika_modell,0.1768,46914,53102,stockholm,superellips,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24683763/10a35d05-0be5-4324-bae1-eb1dc48455de,https://images.blocketcdn.se/dynamic/default/item/18605528/53d34c2a-5a61-4138-b6b2-251f46fc959e,Ikea soffbord Stockholm,"Stort PIET HEIN & BRUNO MATHSSON bord ""Superellips""",olika_modell
bord,olika_modell,0.606,94170,49022,superellips,stockholm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4311935_aaafc7149c.jpg,https://images.blocketcdn.se/dynamic/default/item/22453362/d19b9ac1-a839-4464-b084-c9dfdc56f049,"Bord, ""Superellips"", stämpelmärkt. bruno mathsson & piet hein",Soffbord Stockholm Ikea,olika_modell
bord,olika_modell,0.5776,94163,11813,lamino,vardags,,,auctionet,auctionet,https://images.auctionet.com/thumbs/mini_item_4279600_4f94697e06.jpg,https://images.auctionet.com/thumbs/mini_item_5010998_3ba337da45.jpg,"Sidobord, bok, ""Lamino"", Swedese. yngve ekström","Bord ""Vardags"", björk, Stolab. carl malmsten",olika_modell
bord,olika_modell,0.0426,5251,65065,stockholm,hemnes,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4959313_bc73e4e10f.jpg,https://images.blocketcdn.se/dynamic/default/item/24587767/743c1c2b-d036-4666-9812-d307296e9c72,"Satsbord 2 delar, björk och masurbjörk. IKEA, ""Stockholm"", formgivna 1996. tomas",Hemnes sekretär med skrivbord,olika_modell
bord,olika_modell,0.2239,94161,46246,lamino,hemnes,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4404049_8e4bb9b73d.jpg,https://images.blocketcdn.se/dynamic/default/item/23888435/e114df71-e22f-401d-b71e-4add67464742,"Sidobord, ""Lamino"", Swedese. yngve ekström",Soffbord i fint skick!,olika_modell
bord,olika_modell,0.0811,94300,41238,malm,pedrera,,,tradera,blocket,https://img.tradera.net/images/942/647891942_32dd7816-c096-45a7-ba53-f53fcf16fdfa.jpg,https://images.blocketcdn.se/dynamic/default/item/24222770/77bfeff1-1642-47de-892b-fde76a343e8c,Sminkbord i trä - MALM - IKEA - Toalettbord - Bord,Gubi Pedrera soffbord,olika_modell
bord,olika_modell,0.2372,55682,65065,liatorp,hemnes,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24647369/53338b6a-7b7b-4057-a366-78b3a9c8dd30,https://images.blocketcdn.se/dynamic/default/item/24587767/743c1c2b-d036-4666-9812-d307296e9c72,Liatorp skrivbord,Hemnes sekretär med skrivbord,olika_modell
bord,olika_modell,0.2637,37210,53155,malm,liatorp,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24546200/72c7b9cd-250d-40e6-b559-539c1ca36ec4,https://images.blocketcdn.se/dynamic/default/item/24718862/b214c372-d34e-4b1c-ae68-c72a84aba5c4,MALM skrivbord,Soffbord Liatorp,olika_modell
bord,olika_modell,0.4199,5226,35963,superellips,liatorp,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4700744_dbae70f189.jpg,https://images.blocketcdn.se/dynamic/default/item/24354899/6ae0a4ab-f25e-4ee4-b536-e5f49ed1c701,"Bord, ""Superellips"", stor modell, björk, 1900-talets andra hälft. bruno mathsson",Ikea Liatorp sidobord/avlastnings bord,olika_modell
bord,olika_modell,0.0442,5172,55682,stockholm,liatorp,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5089301_698a80288e.jpg,https://images.blocketcdn.se/dynamic/default/item/24647369/53338b6a-7b7b-4057-a366-78b3a9c8dd30,"Satsbord, 2 st, björk, Ikea Stockholm, 1996. tomas jelinek",Liatorp skrivbord,olika_modell
bord,olika_modell,0.321,12682,53833,malm,stockholm,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24580504/aa5d7d21-3180-4821-8ed1-f0049a35cba7,https://images.blocketcdn.se/dynamic/default/item/24451592/f9ffd882-68d2-41b5-8358-6411556c5f9c,Ikea malm smink bord helt nytt,Sidobord Stockholm från IKEA,olika_modell
bord,olika_modell,0.3657,57350,78949,stockholm,hemnes,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24207305/2eb08b1e-d9af-41f3-9e36-ce6979a42427,https://images.blocketcdn.se/dynamic/default/item/21712050/16fea380-e087-4665-b8b0-489ba6877632,Ikea Stockholm soffbord,Skrivbord IKEA Hemnes vitt,olika_modell
bord,olika_modell,0.2092,52312,92176,pedrera,liatorp,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/20039946/404b7e6c-07bd-45c0-8be2-8870c985e1a1,https://images.blocketcdn.se/dynamic/default/item/24762427/186959df-4cf4-4af0-9255-cf483450a029,GUBI Pedrera soffbord,Ikea Liatorp konsolbord nyskick,olika_modell
bord,olika_modell,-0.0206,94142,89066,stockholm,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4199287_2c4fbf519a.jpg,https://images.blocketcdn.se/dynamic/default/item/24729421/e4877bd2-2d62-42ba-9427-ce257ccdcde3,"KARIN MOBRING & TOMAS JELINEK Skrivbord / Sidebord ur serien ""Stockholm"" Ikea, s",MALM bord,olika_modell
bord,olika_modell,0.5029,94130,46010,stockholm,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4260384_bd0480be78.jpg,https://images.blocketcdn.se/dynamic/default/item/24133179/087af7c7-531b-42e9-9653-ffd50d170af2,"SOFFBORD, ""Stockholm"", fanérat med ek, IKEA 1900-talets slut.",Skrivbord MALM,olika_modell
bord,olika_modell,0.1245,5663,41409,samsas,pedrera,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5117794_5f37b600fe.jpg,https://images.blocketcdn.se/dynamic/default/item/23763261/97b6177e-1e72-461a-825a-789a6f480253,"Soffbord, ""Samsas"", fanerat i brickmärkt Åfors möbelfabrik. carl malmsten",Gubi Pedrera Soffbord - halvmatt svart/ glasskiva,olika_modell
bord,olika_modell,0.2656,65468,70803,stockholm,brimnes,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24310590/fc8eeb9c-838f-4054-9c23-7de080df0b4f,https://images.blocketcdn.se/dynamic/default/item/22951613/eb2d4f22-d482-4a2b-b44b-700b9ac3356f,IKEA Stockholm Sidobord,BRIMNES Sminkbord.,olika_modell
bord,olika_modell,0.1633,4728,41566,samsas,pedrera,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4836595_1c19d672cf.jpg,https://images.blocketcdn.se/dynamic/default/item/20071455/6c88a9e8-0499-4de1-a5c1-cb90907ea601,"""Samsas"", soffbord, sjtärnfanér i teak, brickmärkt. carl malmsten",Soffbord Gubi Pedrera,olika_modell
bord,olika_modell,0.0845,94140,91625,superellips,liatorp,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4237610_1e7c5d1be3.jpg,https://images.blocketcdn.se/dynamic/default/item/24762634/afe81f65-49cb-4716-9a27-5457f6726bd7,"bord, ""Superellips"", skiva fanerad med masurbjörk, undertill etikettmärkt. bruno",Ikea Liatorp soffbord,olika_modell
bord,olika_modell,0.1517,38880,52409,campus,pedrera,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24431628/146f8476-78e4-453d-b7a2-06f857be1b0f,https://images.blocketcdn.se/dynamic/default/item/24023644/067d0d6c-a822-4be9-b988-d7cc7150b888,Bord Lammhults - modell campus 140x80,Gubi Pedrera Soffbord,olika_modell
bord,olika_modell,0.3755,51106,52505,stockholm,samsas,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24133685/ada45043-40cb-4204-bce2-9201436adaad,https://images.blocketcdn.se/dynamic/default/item/23833223/d396cf7b-6df8-4b94-a304-28e95006b446,BÄNK/BORD IKEA STOCKHOLM,Carl Malmsten soffbord Samsas,olika_modell
bord,olika_modell,0.2246,6734,94290,tulip,stockholm,,,auctionet,tradera,https://images.auctionet.com/thumbs/mini_item_4907416_2838a46312.jpg,https://img.tradera.net/images/195/635988195_7506f671-a3d4-4ee0-8a2f-b83a357834f5.jpg,"Sidobord, ""Tulip"", Knoll International, märkt i gjutgods under fot. eero saarine",Soffbord IKEA Stockholm - Valnötsfaner,olika_modell
bord,olika_modell,0.1343,5067,52447,stockholm,pedrera,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5202949_f7e0c7c0b9.jpg,https://images.blocketcdn.se/dynamic/default/item/23956038/fca21453-a624-4f17-9bfc-5a013e79f61b,"SOFFBORD, ""Stockholm"", fanérat med ek, IKEA 1900-talets slut.",GUBI Pedrera Soffbord,olika_modell
bord,olika_modell,0.7075,5289,94147,berg,samsas,,,auctionet,auctionet,https://images.auctionet.com/thumbs/mini_item_4996872_643861bf2f.jpg,https://images.auctionet.com/thumbs/mini_item_4278744_5e0104c519.jpg,"soffbord, ""Berg"", masurbjörkfanér, tredelad fot, brännmärkt CM. carl malmsten","Soffbord, ""Samsas"", Åfors Möbelfrabrik, 1900-talets mitt. carl malmsten",olika_modell
bord,olika_modell,0.5713,70803,77872,brimnes,malm,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/22951613/eb2d4f22-d482-4a2b-b44b-700b9ac3356f,https://images.blocketcdn.se/dynamic/default/item/24197017/3d64803e-b032-4ccc-943a-69e33f93d512,BRIMNES Sminkbord.,Malm skrivbord,olika_modell
bord,olika_modell,0.1456,39280,51049,stockholm,samsas,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/23999006/6031b3a9-ae2a-40ff-92f0-828e636dae02,https://images.blocketcdn.se/dynamic/default/item/24203761/eadbf215-800b-4694-a42e-c25be8c77cb8,"Soffbord Stockholm, Ikea",Carl Malmsten Samsas bord,olika_modell
bord,olika_modell,0.2371,49746,92696,hemnes,liatorp,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/21932787/7e1df602-0cfa-44e8-929b-cb7ec694e850,https://images.blocketcdn.se/dynamic/default/item/24748945/48694970-6560-4d41-a129-69c96f60e8bc,"HEMNES - Skrivbord, Svart",LIATORP avlastningsbord IKEA – vit med glasskiva,olika_modell
bord,olika_modell,0.0948,51049,91652,samsas,malm,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24203761/eadbf215-800b-4694-a42e-c25be8c77cb8,https://images.blocketcdn.se/dynamic/default/item/24750380/2ce54f98-896d-4616-809e-c229f91bfdb3,Carl Malmsten Samsas bord,Skrivbord Malm IKEA,olika_modell
bord,olika_modell,0.2344,94132,38880,stockholm,campus,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4618878_55e3c15831.jpg,https://images.blocketcdn.se/dynamic/default/item/24431628/146f8476-78e4-453d-b7a2-06f857be1b0f,"SIDOBORD MED FÖRVARING, ""STOCKHOLM"", IKEA, TVÅ STYCKEN. lilja löwenhielm",Bord Lammhults - modell campus 140x80,olika_modell
bord,olika_modell,0.2871,94235,72439,stockholm,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_3737063_2b5754bb17.jpg,https://images.blocketcdn.se/dynamic/default/item/24670413/5cccbffb-a131-47ad-a552-dd9e1ac74541,"SKRIVBORD, ""Stockholm"", Karin Morbring och Tomas Jelinek, IKEA.",Malm sminkbord,olika_modell
bord,olika_modell,0.2247,585,93755,stockholm,palissade,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5124174_83ac7bf611.jpg,https://images.blocketcdn.se/dynamic/default/item/24747344/7604df9d-ed82-4ee6-ba1f-e289c3c2f312,"BÄNK, alt. soffbord, ""Stockholm 2017"", IKEA, etikettmärkt undertill.",Hay Palissade bord antracit,olika_modell
bord,olika_modell,0.1321,12682,93755,malm,palissade,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/24580504/aa5d7d21-3180-4821-8ed1-f0049a35cba7,https://images.blocketcdn.se/dynamic/default/item/24747344/7604df9d-ed82-4ee6-ba1f-e289c3c2f312,Ikea malm smink bord helt nytt,Hay Palissade bord antracit,olika_modell
bord,olika_modell,0.2365,36634,76947,malm,hemnes,,,blocket,blocket,https://images.blocketcdn.se/dynamic/default/item/20012325/7f1b2606-be15-4137-ad7c-f8736e080714,https://images.blocketcdn.se/dynamic/default/item/24627767/21ceaaf5-31b4-4df6-811f-650de1fd75da,IKEA Malm skrivbord i mycket fint skick säljes!,Hemnes skrivbord,olika_modell
bord,olika_modell,0.0492,94297,35753,stockholm,kallax,,,tradera,blocket,https://img.tradera.net/images/700/644969700_7f0f7ee9-93bf-4aab-b944-92e1ac7de120.jpg,https://images.blocketcdn.se/dynamic/default/item/21710996/d50bc793-c386-4504-befb-6fe9da531f59,Bordslampa IKEA Stockholm 2017 dimbar,Fästen skrivbord kallax,olika_modell
bord,olika_modell,0.5132,94124,50037,samsas,stockholm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4667929_ffc37d8b3b.jpg,https://images.blocketcdn.se/dynamic/default/item/23322805/b8a232cd-5db0-42cd-a669-0afd2a8d3107,"""Samsas"", soffbord, sjtärnfanér i teak, brickmärkt. carl malmsten",IKEA STOCKHOLM soffbord i valnöt,olika_modell
bord,olika_modell,0.5532,94235,52505,stockholm,samsas,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_3737063_2b5754bb17.jpg,https://images.blocketcdn.se/dynamic/default/item/23833223/d396cf7b-6df8-4b94-a304-28e95006b446,"SKRIVBORD, ""Stockholm"", Karin Morbring och Tomas Jelinek, IKEA.",Carl Malmsten soffbord Samsas,olika_modell
bord,olika_modell,0.3582,94283,37758,stockholm,malm,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4686117_59fbb0ae78.jpg,https://images.blocketcdn.se/dynamic/default/item/24060781/4de0504a-8054-47dd-9ca7-4033e71b9f79,"SOFFBORD, ""Stockholm"", fanérat med ek, IKEA 1900-talets slut.",Malm Skrivbord (nyskick),olika_modell
bord,olika_modell,0.1896,6734,52447,tulip,pedrera,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_4907416_2838a46312.jpg,https://images.blocketcdn.se/dynamic/default/item/23956038/fca21453-a624-4f17-9bfc-5a013e79f61b,"Sidobord, ""Tulip"", Knoll International, märkt i gjutgods under fot. eero saarine",GUBI Pedrera Soffbord,olika_modell
bord,olika_modell,0.2683,5067,91341,stockholm,hemnes,,,auctionet,blocket,https://images.auctionet.com/thumbs/mini_item_5202949_f7e0c7c0b9.jpg,https://images.blocketcdn.se/dynamic/default/item/24746763/e2faa049-03e4-4b97-98a9-d9903b65788e,"SOFFBORD, ""Stockholm"", fanérat med ek, IKEA 1900-talets slut.",Hemnes sminkbord,olika_modell
