truth_base,truth_type,token,price_kind,blocked,image_share,blind text|type,blind text|base,blind text|source,blind text|kronor,blind text|ratio,text+prior|type,text+prior|base,text+prior|source,text+prior|kronor,text+prior|ratio,bild (familj)|type,bild (familj)|base,bild (familj)|source,bild (familj)|kronor,bild (familj)|ratio,text+prior+bild|type,text+prior+bild|base,text+prior+bild|source,text+prior+bild|kronor,text+prior+bild|ratio,gammal platt klassificerare|type,gammal platt klassificerare|kronor,gammal platt klassificerare|ratio
bord,sidobord,nordiska,realized,1,0.808,,,,,,,,,,,bord,bord,image,775.0,2.2916666666666665,bord,bord,image,775.0,2.2916666666666665,bord,775.0,2.2916666666666665
bord,skrivbord,grange,realized,2,0.969,,,,,,,,,,,bord,bord,image,1696.0,0.4439344262295082,bord,bord,image,1696.0,0.4439344262295082,bord,1696.0,0.4439344262295082
bord,bord,tillskriven,realized,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matgrupp,tradgardsmobel,asking,1,0.717,,,,,,stol,stol,prior,837.5,0.41739130434782606,bord,bord,image,2812.5,2.9565217391304346,stol,stol,prior,837.5,0.41739130434782606,stol,837.5,0.41739130434782606
bord,matgrupp,cafeset,asking,1,0.704,,,,,,,,,,,stol,stol,image,100.0,1.3076923076923077,stol,stol,image,100.0,1.3076923076923077,stol,100.0,1.3076923076923077
bord,matbord,personer,asking,1,1.0,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,matgrupp,887.5,0.55625
bord,bord,nattygsbord,asking,1,0.451,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,bord,saljes,asking,1,0.937,,,,,,,,,,,forvaring,forvaring,image,250.0,1.4166666666666667,forvaring,forvaring,image,250.0,1.4166666666666667,hylla,100.0,0.8333333333333334
bord,bord,antikt,asking,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,soffbord,glasskiva,asking,1,0.871,,,,,,,,,,,bord,bord,image,250.0,0.6666666666666666,bord,bord,image,250.0,0.6666666666666666,bord,250.0,0.6666666666666666
bord,bord,metallstomme,asking,1,0.593,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,bord,fallbord,realized,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,skrivbord,micke,asking,1,1.0,,,,,,bord,bord,prior,50.0,0.875,bord,bord,image,50.0,0.875,bord,bord,prior,50.0,0.875,bord,50.0,0.875
bord,bord,vitmalat,realized,1,0.976,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,engelsk-stil,realized,1,0.643,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,bord,tradgardsbord,asking,1,0.871,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matbord,glasbord,asking,1,0.626,,,,,,,,,,,,,,,,,,,,,stol,1400.0,0.2631578947368421
bord,matbord,140cm,asking,1,1.0,,,,,,,,,,,bord,bord,image,2000.0,0.23076923076923078,bord,bord,image,2000.0,0.23076923076923078,bord,2000.0,0.23076923076923078
bord,bord,lador,asking,1,0.916,,,,,,forvaring,forvaring,prior,25.0,1.0357142857142858,forvaring,forvaring,image,25.0,1.0357142857142858,forvaring,forvaring,prior,25.0,1.0357142857142858,byrå,,
bord,soffbord,ordinarie,asking,1,0.903,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,soffbord,tva,asking,1,1.0,,,,,,,,,,,bord,bord,image,400.0,0.6,bord,bord,image,400.0,0.6,bord,400.0,0.6
bord,matgrupp,hagafors,asking,1,0.974,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,matgrupp,0.0,1.0
bord,bord,slagbord,realized,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matgrupp,inkl,asking,1,1.0,,,,,,,,,,,bord,bord,image,107.0,1.166407465007776,bord,bord,image,107.0,1.166407465007776,matgrupp,0.0,1.0
bord,soffbord,travertin,realized,1,1.0,,,,,,,,,,,bord,bord,image,1774.5,0.5507594936708861,bord,bord,image,1774.5,0.5507594936708861,bord,1774.5,0.5507594936708861
bord,bord,oktagonalt,asking,1,1.0,,,,,,forvaring,forvaring,prior,,,bord,bord,image,0.0,1.0,forvaring,forvaring,prior,,,bord,0.0,1.0
bord,soffbord,hay,asking,1,0.974,,,,,,,,,,,bord,bord,image,1250.0,2.0,bord,bord,image,1250.0,2.0,bord,1250.0,2.0
bord,matbord,ask,asking,1,0.801,,,,,,bord,bord,prior,3000.0,0.4,bord,bord,image,3000.0,0.4,bord,bord,prior,3000.0,0.4,matgrupp,4208.5,0.1583
bord,soffbord,ellos,asking,1,0.528,,,,,,,,,,,,,,,,,,,,,bord,350.0,0.7586206896551724
bord,matgrupp,tradgardsbord,asking,1,0.944,,,,,,,,,,,bord,bord,image,175.0,1.4666666666666666,bord,bord,image,175.0,1.4666666666666666,matgrupp,0.0,1.0
bord,bord,sminkbord,asking,1,0.621,,,,,,bord,bord,prior,0.0,1.0,,,,,,bord,bord,prior,0.0,1.0,hylla,350.0,0.5
bord,soffbord,rustikt,asking,1,0.902,,,,,,,,,,,bord,bord,image,600.0,1.375,bord,bord,image,600.0,1.375,bord,600.0,1.375
bord,bord,lada,realized,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matbord,inkl,asking,1,0.924,,,,,,,,,,,bord,bord,image,1250.0,0.375,bord,bord,image,1250.0,0.375,matgrupp,1367.0,0.3165
bord,matgrupp,forlangningsbart,asking,1,1.0,,,,,,bord,bord,prior,1500.0,4.0,bord,bord,image,1500.0,4.0,bord,bord,prior,1500.0,4.0,matgrupp,0.0,1.0
bord,matbord,vangsta,asking,1,0.65,,,,,,bord,bord,prior,250.0,1.5,,,,,,bord,bord,prior,250.0,1.5,stol,,
bord,bord,barbord,asking,1,0.918,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,stol,12.5,0.9807692307692307
bord,bord,vagghangda,asking,1,0.512,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,skrivbord,mio,asking,1,1.0,,,,,,,,,,,bord,bord,image,50.0,1.0769230769230769,bord,bord,image,50.0,1.0769230769230769,bord,50.0,1.0769230769230769
bord,skrivbord,kompakt,asking,1,0.622,,,,,,bord,bord,prior,290.0,2.45,,,,,,bord,bord,prior,290.0,2.45,okänd,,
bord,bord,trampsymaskin,asking,1,0.972,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matbord,mio,asking,1,0.974,,,,,,,,,,,bord,bord,image,1050.0,0.4,bord,bord,image,1050.0,0.4,matgrupp,675.0,0.6142857142857143
bord,skrivbord,funkis,asking,1,0.914,,,,,,,,,,,bord,bord,image,250.0,0.8275862068965517,bord,bord,image,250.0,0.8275862068965517,bord,250.0,0.8275862068965517
bord,bord,unikt,asking,1,0.566,,,,,,,,,,,,,,,,,,,,,bord,0.0,1.0
bord,soffbord,jugend,realized,1,1.0,,,,,,,,,,,bord,bord,image,100.0,1.2,bord,bord,image,100.0,1.2,bord,100.0,1.2
bord,soffbord,rustikt,asking,1,0.974,,,,,,bord,bord,prior,600.0,1.375,bord,bord,image,600.0,1.375,bord,bord,prior,600.0,1.375,bord,600.0,1.375
bord,soffbord,stalands,asking,1,1.0,,,,,,,,,,,bord,bord,image,600.0,0.625,bord,bord,image,600.0,0.625,bord,600.0,0.625
bord,bord,ooppnad,asking,1,0.0,,,,,,,,,,,,,,,,,,,,,,,
bord,soffbord,renassansstil,realized,1,1.0,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,sidobord,liatorp,asking,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matbord,talavid,realized,1,1.0,,,,,,,,,,,bord,bord,image,1200.0,1.4,bord,bord,image,1200.0,1.4,bord,1200.0,1.4
bord,matbord,maria,realized,1,0.734,,,,,,,,,,,bord,bord,image,2104.0,0.8981360445412733,bord,bord,image,2104.0,0.8981360445412733,bord,2104.0,0.8981360445412733
bord,bord,tradgardsmobler,asking,2,0.823,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,matgrupp,1245.0,0.37593984962406013
bord,bord,slut,realized,1,0.976,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,lyx,asking,1,0.809,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,matgrupp,,
bord,soffbord,lugo,asking,1,0.648,,,,,,,,,,,,,,,,,,,,,soffa,,
bord,soffbord,glasskiva,asking,1,1.0,,,,,,,,,,,bord,bord,image,250.0,0.6666666666666666,bord,bord,image,250.0,0.6666666666666666,bord,250.0,0.6666666666666666
bord,bord,markerad,asking,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,matbord,,
bord,skrivbord,betong,asking,1,0.713,,,,,,,,,,,stol,stol,image,,,stol,stol,image,,,stol,,
bord,soffbord,finskt,asking,1,0.976,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,matbord,bordstabletter,asking,1,0.0,,,,,,,,,,,,,,,,,,,,,,,
bord,matgrupp,utemobler,asking,1,0.922,,,,,,,,,,,bord,bord,image,700.0,2.4,bord,bord,image,700.0,2.4,matgrupp,0.0,1.0
bord,skrivbord,jugend,asking,1,0.923,,,,,,,,,,,bord,bord,image,250.0,0.7916666666666666,bord,bord,image,250.0,0.7916666666666666,bord,250.0,0.7916666666666666
bord,soffbord,camilla,asking,1,1.0,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,matgrupp,torsby,asking,1,0.975,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,soffbord,mio,asking,1,0.951,,,,,,,,,,,bord,bord,image,300.0,0.7,bord,bord,image,300.0,0.7,bord,300.0,0.7
bord,matgrupp,ovalt,asking,1,0.899,,,,,,bord,bord,prior,100.0,1.2,bord,bord,image,100.0,1.2,bord,bord,prior,100.0,1.2,matgrupp,0.0,1.0
bord,skrivbord,trabord,asking,1,0.895,,,,,,,,,,,bord,bord,image,299.0,1.598,bord,bord,image,299.0,1.598,bord,299.0,1.598
bord,bord,cello,asking,1,0.974,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,matgrupp,,
bord,matbord,trastolar,asking,1,0.815,,,,,,,,,,,bord,bord,image,950.0,0.3448275862068966,bord,bord,image,950.0,0.3448275862068966,matgrupp,1075.0,0.25862068965517243
bord,matgrupp,rottingmoblemang,asking,1,0.834,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,matgrupp,0.0,1.0
bord,skrivbord,1960-tal,realized,1,1.0,,,,,,,,,,,bord,bord,image,1148.0,0.3622222222222222,bord,bord,image,1148.0,0.3622222222222222,bord,1148.0,0.3622222222222222
bord,skrivbord,alex,asking,1,0.831,,,,,,bord,bord,prior,200.0,0.7142857142857143,bord,bord,image,200.0,0.7142857142857143,bord,bord,prior,200.0,0.7142857142857143,bord,200.0,0.7142857142857143
bord,skrivbord,svenssons,asking,1,0.662,,,,,,,,,,,,,,,,,,,,,stol,,
bord,bord,stenskivor,realized,1,0.606,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,bord,nordiska,realized,1,0.975,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,byrå,,
bord,bord,klaffbord,asking,1,1.0,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,bord,0.0,1.0
bord,matgrupp,balkongset,asking,1,0.801,,,,,,,,,,,bord,bord,image,271.0,1.971326164874552,bord,bord,image,271.0,1.971326164874552,stol,46.0,1.1648745519713262
bord,matbord,klassisk,asking,1,0.867,,,,,,,,,,,bord,bord,image,900.0,0.4,bord,bord,image,900.0,0.4,matgrupp,612.5,0.5916666666666667
bord,bord,glasbord,asking,1,0.694,,,,,,,,,,,,,,,,,,,,,bord,0.0,1.0
bord,soffbord,tal,asking,1,1.0,,,,,,,,,,,bord,bord,image,600.0,0.6,bord,bord,image,600.0,0.6,bord,600.0,0.6
bord,soffbord,morkt,asking,1,1.0,,,,,,,,,,,bord,bord,image,200.0,0.7777777777777778,bord,bord,image,200.0,0.7777777777777778,bord,200.0,0.7777777777777778
bord,bord,askholmen,asking,1,0.975,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,soffbord,ljust,asking,1,0.587,,,,,,,,,,,,,,,,,,,,,okänd,,
bord,skrivbord,tore,asking,1,0.554,,,,,,,,,,,,,,,,,,,,,hylla,,
bord,bord,metallben,asking,1,0.975,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,tal,asking,1,0.976,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,kvistbro,asking,1,0.969,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,slagbord,realized,1,1.0,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,bord,0.0,1.0
bord,matgrupp,shabby,asking,1,0.926,,,,,,,,,,,bord,bord,image,524.5,0.4752376188094047,bord,bord,image,524.5,0.4752376188094047,matgrupp,0.0,1.0
bord,soffbord,oljad,asking,1,1.0,,,,,,,,,,,bord,bord,image,250.5,0.8681578947368421,bord,bord,image,250.5,0.8681578947368421,bord,250.5,0.8681578947368421
bord,bord,handgjord,asking,1,0.947,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,matbord,5900.0,3.269230769230769
bord,matgrupp,tradgard,asking,1,0.424,,,,,,,,,,,,,,,,,,,,,stol,1200.0,0.26153846153846155
bord,skrivbord,lada,asking,1,0.949,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,bord,0.0,1.0
bord,matgrupp,astrid,asking,1,0.767,,,,,,,,,,,bord,bord,image,1150.0,1.575,bord,bord,image,1150.0,1.575,matgrupp,0.0,1.0
bord,matgrupp,sex,asking,2,1.0,,,,,,,,,,,bord,bord,image,1475.0,3.95,bord,bord,image,1475.0,3.95,matgrupp,0.0,1.0
bord,soffbord,homeline,asking,1,0.948,,,,,,bord,bord,prior,,,bord,bord,image,,,bord,bord,prior,,,bord,,
bord,sidobord,tre,asking,1,0.941,,,,,,,,,,,bord,bord,image,75.0,1.1428571428571428,bord,bord,image,75.0,1.1428571428571428,bord,75.0,1.1428571428571428
bord,bord,lackerat,realized,1,1.0,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,byrå,,
bord,bord,cafebord,asking,1,0.976,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,bord,0.0,1.0
bord,bord,vardags,realized,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,soffbord,vackert,asking,1,1.0,,,,,,,,,,,bord,bord,image,100.0,1.0714285714285714,bord,bord,image,100.0,1.0714285714285714,bord,100.0,1.0714285714285714
bord,matgrupp,trabord,asking,1,1.0,,,,,,,,,,,bord,bord,image,33.5,0.9597839135654261,bord,bord,image,33.5,0.9597839135654261,matgrupp,0.0,1.0
bord,matgrupp,jysk,asking,1,0.974,,,,,,,,,,,bord,bord,image,175.0,0.72,bord,bord,image,175.0,0.72,matgrupp,0.0,1.0
bord,matgrupp,konferensbord,asking,1,0.921,,,,,,,,,,,bord,bord,image,2000.0,3.0,bord,bord,image,2000.0,3.0,matbord,1100.0,2.1
bord,bord,1800-tal,realized,1,0.976,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,soffbord,exklusiv,asking,1,1.0,,,,,,bord,bord,prior,2500.0,0.5652173913043478,bord,bord,image,2500.0,0.5652173913043478,bord,bord,prior,2500.0,0.5652173913043478,bord,2500.0,0.5652173913043478
bord,bord,vikhammer,asking,1,0.875,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,byrå,,
bord,bord,vihals,asking,1,1.0,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,bord,0.0,1.0
bord,soffbord,1980-tal,realized,1,1.0,,,,,,,,,,,bord,bord,image,150.0,0.7692307692307693,bord,bord,image,150.0,0.7692307692307693,bord,150.0,0.7692307692307693
bord,matgrupp,cafebord,realized,1,0.858,,,,,,,,,,,stol,stol,image,,,stol,stol,image,,,stol,,
bord,matgrupp,tradgardsgrupp,asking,1,0.737,,,,,,bord,bord,prior,1887.5,3.849056603773585,stol,stol,image,106.5,1.160754716981132,bord,bord,prior,1887.5,3.849056603773585,stol,106.5,1.160754716981132
bord,bord,antikt,asking,1,0.0,,,,,,,,,,,,,,,,,,,,,,,
bord,bord,sminkbord,asking,1,0.643,,,,,,forvaring,forvaring,prior,25.0,0.9642857142857143,,,,,,forvaring,forvaring,prior,25.0,0.9642857142857143,hylla,350.0,0.5
bord,bord,trabord,asking,1,0.972,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,matgrupp,58.5,1.0755326016785023
bord,bord,diameter,asking,1,1.0,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,bord,0.0,1.0
bord,soffbord,marmorskiva,asking,2,0.976,,,,,,,,,,,bord,bord,image,100.0,0.9090909090909091,bord,bord,image,100.0,0.9090909090909091,bord,100.0,0.9090909090909091
bord,soffbord,mio,asking,1,1.0,,,,,,,,,,,bord,bord,image,300.0,0.7,bord,bord,image,300.0,0.7,bord,300.0,0.7
bord,skrivbord,hoj,asking,1,1.0,,,,,,bord,bord,prior,300.0,0.8125,bord,bord,image,300.0,0.8125,bord,bord,prior,300.0,0.8125,bord,300.0,0.8125
bord,soffbord,sweef,asking,1,1.0,,,,,,,,,,,bord,bord,image,700.0,1.2,bord,bord,image,700.0,1.2,bord,700.0,1.2
bord,matbord,sex,asking,1,1.0,,,,,,,,,,,bord,bord,image,308.5,0.8649003722356032,bord,bord,image,308.5,0.8649003722356032,matbord,0.0,1.0
bord,bord,louis,realized,1,0.62,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,sidobord,klassisk,asking,1,0.866,,,,,,,,,,,bord,bord,image,111.0,0.8414285714285714,bord,bord,image,111.0,0.8414285714285714,bord,111.0,0.8414285714285714
bord,skrivbord,connect,realized,1,1.0,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,bord,rektangulart,asking,1,0.975,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matbord,matstolar,asking,1,0.95,,,,,,,,,,,bord,bord,image,16.0,0.9807923169267707,bord,bord,image,16.0,0.9807923169267707,matgrupp,83.0,0.9003601440576231
bord,sidobord,kallat,realized,1,1.0,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,matbord,ekmobler,asking,1,0.77,,,,,,,,,,,forvaring,forvaring,image,,,forvaring,forvaring,image,,,byrå,,
bord,bord,lisabo,asking,2,0.972,,,,,,bord,bord,prior,0.0,1.0,bord,bord,image,0.0,1.0,bord,bord,prior,0.0,1.0,bord,0.0,1.0
bord,matbord,forlangningsbart,asking,1,0.975,,,,,,bord,bord,prior,200.0,1.1111111111111112,bord,bord,image,200.0,1.1111111111111112,bord,bord,prior,200.0,1.1111111111111112,matgrupp,1300.0,0.2777777777777778
bord,matgrupp,chilli,asking,1,1.0,,,,,,,,,,,bord,bord,image,900.0,0.5714285714285714,bord,bord,image,900.0,0.5714285714285714,matbord,100.0,0.9523809523809523
bord,bord,avslastningsbord,asking,1,0.947,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,matgrupp,tva,asking,1,0.919,,,,,,,,,,,bord,bord,image,218.5,1.5727391874180865,bord,bord,image,218.5,1.5727391874180865,matgrupp,0.0,1.0
bord,matgrupp,lisabo,asking,1,1.0,,,,,,bord,bord,prior,125.0,1.1666666666666667,bord,bord,image,125.0,1.1666666666666667,bord,bord,prior,125.0,1.1666666666666667,matgrupp,0.0,1.0
bord,bord,klaffar,realized,1,0.974,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,marmorbord,asking,1,1.0,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
bord,bord,kistbord,asking,1,0.937,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,okänd,,
bord,sidobord,engelsk,realized,1,0.571,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,soffbord,jakaranda,asking,1,0.948,,,,,,,,,,,bord,bord,image,500.0,0.6666666666666666,bord,bord,image,500.0,0.6666666666666666,bord,500.0,0.6666666666666666
bord,sidobord,spiralvridna,realized,1,1.0,,,,,,,,,,,bord,bord,image,,,bord,bord,image,,,bord,,
bord,matgrupp,gustaviansk,realized,1,0.975,,,,,,,,,,,stol,stol,image,826.0,0.28608470181503887,stol,stol,image,826.0,0.28608470181503887,stol,826.0,0.28608470181503887
bord,soffbord,nyskick,asking,1,0.972,,,,,,,,,,,forvaring,forvaring,image,50.0,1.0303030303030303,forvaring,forvaring,image,50.0,1.0303030303030303,byrå,,
bord,soffbord,boconcept,asking,1,1.0,,,,,,,,,,,bord,bord,image,490.0,1.245,bord,bord,image,490.0,1.245,bord,490.0,1.245
bord,skrivbord,hoj,asking,1,1.0,,,,,,bord,bord,prior,300.0,0.8125,bord,bord,image,300.0,0.8125,bord,bord,prior,300.0,0.8125,bord,300.0,0.8125
bord,bord,elegant,asking,1,0.478,,,,,,,,,,,,,,,,,,,,,byrå,,
bord,matbord,snyggt,asking,1,1.0,,,,,,,,,,,bord,bord,image,1117.5,0.44125,bord,bord,image,1117.5,0.44125,matbord,0.0,1.0
bord,bord,mattbord,asking,1,0.925,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,matbord,,
bord,bord,string,asking,1,0.441,,,,,,forvaring,forvaring,prior,1550.0,2.55,,,,,,forvaring,forvaring,prior,1550.0,2.55,okänd,,
bord,bord,fallbord,realized,1,0.926,,,,,,,,,,,bord,bord,image,0.0,1.0,bord,bord,image,0.0,1.0,bord,0.0,1.0
