attribute,truth,predicted,raw,abstained,confidence,evidence,method,mode,model,attempts,error,tokens,seconds,name_norm,price,price_kind,search_blob
corner,True,False,nej,False,hog,Soffan har inte en hörnsektion som bildar ett L.,svar,edge,google/gemini-2.5-flash,1.0,,2328.0,1.96,mio hornsoffa med divan - coffee,900.0,asking,mio hornsoffa med divan - coffee mio mio hornsoffa med divan - coffee divan
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion som viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2316.0,1.93,hornsoffa,700.0,asking,hornsoffa mio hornsoffa
corner,True,True,ja,False,hog,Soffan viker av i ungefär 90 grader och bildar ett L.,svar,edge,google/gemini-2.5-flash,1.0,,2328.0,1.69,hornsoffa till uteplats,3500.0,asking,hornsoffa till uteplats hornsoffa till uteplats
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion där sitsen viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,1817.0,1.96,soffa horn/divansoffa,390.0,asking,soffa horn/divansoffa soffa horn/divansoffa soffa
corner,True,True,ja,False,hog,Soffan har en sektion som viker av i 90 grader och bildar ett L.,svar,edge,google/gemini-2.5-flash,1.0,,2342.0,1.72,hornsoffa i konstrotting med bord for uteplats,3800.0,asking,hornsoffa i konstrotting med bord for uteplats hornsoffa i konstrotting med bord for uteplats bord
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion där sitsen viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2372.0,2.0,snygg tyg hornsoffa med dubbla divaner + soffbord,5000.0,asking,snygg tyg hornsoffa med dubbla divaner + soffbord mio snygg tyg hornsoffa med dubbla divaner + soffbord soffbord
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion som viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2332.0,2.17,hornsoffa gra fran mio,4000.0,asking,hornsoffa gra fran mio mio hornsoffa gra fran mio
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion där sitsen viker av i ungefär 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2290.0,1.59,"hornsoffa 5-sits, ikea, modell kivik",2250.0,asking,"hornsoffa 5-sits, ikea, modell kivik ikea hornsoffa 5-sits, ikea, modell kivik kivik"
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion som viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,1812.0,2.0,stor fin hornsoffa,6000.0,asking,stor fin hornsoffa stor fin hornsoffa soffa
corner,True,True,ja,False,hog,Soffan är L-formad,svar,edge,google/gemini-2.5-flash,1.0,,2274.0,1.36,stilren gron horn soffa med schaslong,3500.0,asking,stilren gron horn soffa med schaslong stilren gron horn soffa med schaslong soffa
corner,True,True,ja,False,hog,Soffan har en sektion som viker av i 90 grader och bildar ett L.,svar,edge,google/gemini-2.5-flash,1.0,,2347.0,1.83,hornsoffa ikea karlstad rod 2+3,2000.0,asking,hornsoffa ikea karlstad rod 2+3 ikea hornsoffa ikea karlstad rod 2+3 karlstad
corner,True,True,ja,False,hog,Soffan är formad som ett L med en tydlig hörnsektion där sitsen viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,2338.0,1.81,hornsoffa kivik ikea,4000.0,asking,hornsoffa kivik ikea ikea hornsoffa kivik ikea kivik
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion som bildar ett L med sitsarna som viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,1816.0,1.93,u-soffa stockholm,5000.0,asking,u-soffa stockholm u-soffa stockholm soffa
corner,True,True,ja,False,hog,Soffan har en tydlig hörnsektion där sitsen viker av i 90 grader.,svar,edge,google/gemini-2.5-flash,1.0,,1835.0,3.39,ikea kladsel till 4 sitts hornsoffa hylltarp ljusbla,1500.0,asking,ikea kladsel till 4 sitts hornsoffa hylltarp ljusbla ikea ikea kladsel till 4 sitts hornsoffa hylltarp ljusbla
